host,vacuum,difference_core,difference_shoulder,difference_total,aligned
2.060000000000e-01,9.575640000000e-01,4.996719425087e-01,1.399244365026e+00,1.898916307534e+00,3.586397382532e-01
2.070000000000e-01,9.571510000000e-01,4.962349158522e-01,1.411344346437e+00,1.907579262289e+00,3.613993330567e-01
2.080000000000e-01,9.567360000000e-01,4.928035798509e-01,1.423473331568e+00,1.916276911419e+00,3.641591783581e-01
2.090000000000e-01,9.563190000000e-01,4.893781216978e-01,1.435630890534e+00,1.925009012232e+00,3.669191146411e-01
2.100000000000e-01,9.559000000000e-01,4.859587269793e-01,1.447816591448e+00,1.933775318427e+00,3.696789823271e-01
2.110000000000e-01,9.554790000000e-01,4.825455796615e-01,1.460030000421e+00,1.942575580082e+00,3.724386217841e-01
2.120000000000e-01,9.550560000000e-01,4.791388620760e-01,1.472270681569e+00,1.951409543646e+00,3.751978733363e-01
2.130000000000e-01,9.546310000000e-01,4.757387549066e-01,1.484538197020e+00,1.960276951927e+00,3.779565772727e-01
2.140000000000e-01,9.542040000000e-01,4.723454371763e-01,1.496832106912e+00,1.969177544088e+00,3.807145738573e-01
2.150000000000e-01,9.537750000000e-01,4.689590862342e-01,1.509151969401e+00,1.978111055635e+00,3.834717033373e-01
2.160000000000e-01,9.533440000000e-01,4.655798777433e-01,1.521497340666e+00,1.987077218409e+00,3.862278059533e-01
2.170000000000e-01,9.529110000000e-01,4.622079856679e-01,1.533867774912e+00,1.996075760580e+00,3.889827219481e-01
2.180000000000e-01,9.524760000000e-01,4.588435822619e-01,1.546262824378e+00,2.005106406640e+00,3.917362915764e-01
2.190000000000e-01,9.520390000000e-01,4.554868380572e-01,1.558682039335e+00,2.014168877392e+00,3.944883551135e-01
2.200000000000e-01,9.516000000000e-01,4.521379218523e-01,1.571124968098e+00,2.023262889950e+00,3.972387528656e-01
2.210000000000e-01,9.511590000000e-01,4.487970007014e-01,1.583591157027e+00,2.032388157728e+00,3.999873251784e-01
2.220000000000e-01,9.507160000000e-01,4.454642399037e-01,1.596080150534e+00,2.041544390438e+00,4.027339124470e-01
2.230000000000e-01,9.502710000000e-01,4.421398029930e-01,1.608591491087e+00,2.050731294080e+00,4.054783551249e-01
2.240000000000e-01,9.498240000000e-01,4.388238517278e-01,1.621124719216e+00,2.059948570944e+00,4.082204937340e-01
2.250000000000e-01,9.493750000000e-01,4.355165460812e-01,1.633679373516e+00,2.069195919598e+00,4.109601688733e-01
2.260000000000e-01,9.489240000000e-01,4.322180442318e-01,1.646254990658e+00,2.078473034890e+00,4.136972212292e-01
2.270000000000e-01,9.484710000000e-01,4.289285025548e-01,1.658851105388e+00,2.087779607943e+00,4.164314915843e-01
2.280000000000e-01,9.480160000000e-01,4.256480756124e-01,1.671467250538e+00,2.097115326151e+00,4.191628208272e-01
2.290000000000e-01,9.475590000000e-01,4.223769161462e-01,1.684102957028e+00,2.106479873175e+00,4.218910499622e-01
2.300000000000e-01,9.471000000000e-01,4.191151750684e-01,1.696757753875e+00,2.115872928944e+00,4.246160201183e-01
